Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
P1,2024-03-11,20:15,Gil Vicente,Chaves,0,0,D,0,0,D,20,5,6,0,13,8,12,1,4,2,1,0
P1,2024-03-15,20:15,Estoril,Portimonense,1,0,H,0,0,D,9,15,3,2,15,10,2,7,1,2,0,0
P1,2024-03-16,18:00,Sp Braga,Gil Vicente,2,1,H,1,0,H,19,10,5,4,12,9,8,2,0,3,0,0
P1,2024-03-16,20:30,Porto,Vizela,4,1,H,0,1,A,36,3,9,0,19,12,12,3,0,3,0,1
P1,2024-03-16,15:30,Famalicao,Estrela,0,0,D,0,0,D,12,9,3,2,15,19,4,7,1,4,0,0
P1,2024-03-16,18:00,Farense,Rio Ave,1,1,D,1,0,H,14,13,7,3,17,15,5,2,2,1,0,0
P1,2024-03-17,15:30,Moreirense,Arouca,1,0,H,1,0,H,12,9,3,1,11,9,2,3,1,1,0,0
P1,2024-03-17,20:30,Sp Lisbon,Boavista,6,1,H,1,1,D,22,3,12,2,9,14,8,1,2,3,0,0
P1,2024-03-17,18:00,Casa Pia,Benfica,0,1,A,0,0,D,6,19,3,6,8,5,4,13,0,2,0,0
P1,2024-03-17,15:30,Chaves,Guimaraes,1,2,A,1,1,D,6,16,2,5,15,14,3,10,3,3,0,0
P1,2024-03-29,20:30,Estrela,Sp Lisbon,1,2,A,1,2,A,6,21,3,6,20,8,3,7,3,1,0,0
P1,2024-03-29,18:00,Benfica,Chaves,1,0,H,0,0,D,19,7,7,0,12,12,11,2,1,8,0,0
P1,2024-03-29,15:30,Gil Vicente,Famalicao,1,2,A,0,1,A,10,12,3,3,8,18,2,5,1,3,0,0
P1,2024-03-30,20:30,Estoril,Porto,1,0,H,0,0,D,5,13,2,2,21,14,1,10,5,8,1,3
P1,2024-03-30,18:00,Boavista,Rio Ave,0,0,D,0,0,D,9,8,2,1,21,10,2,5,3,4,0,1
P1,2024-03-30,15:30,Guimaraes,Moreirense,1,0,H,0,0,D,12,9,4,2,16,13,7,2,5,2,1,0
P1,2024-03-30,15:30,Arouca,Farense,2,1,H,1,0,H,28,10,17,4,15,13,13,4,4,3,0,1
P1,2024-03-31,18:00,Vizela,Casa Pia,0,4,A,0,1,A,13,11,3,9,8,18,6,3,2,6,0,1
P1,2024-04-01,20:15,Portimonense,Sp Braga,3,5,A,1,2,A,13,15,5,9,11,6,4,6,0,1,0,0
P1,2024-04-05,20:15,Farense,Boavista,2,0,H,2,0,H,15,17,8,7,18,11,5,12,3,3,0,0
P1,2024-04-06,15:30,Famalicao,Vizela,3,2,H,2,0,H,17,8,9,4,16,19,1,5,6,1,0,0
P1,2024-04-06,15:30,Rio Ave,Gil Vicente,3,0,H,2,0,H,13,5,7,3,18,14,1,8,2,4,0,1
P1,2024-04-06,18:00,Sp Braga,Arouca,0,3,A,0,2,A,17,11,10,6,11,15,10,9,1,3,0,0
P1,2024-04-06,20:30,Sp Lisbon,Benfica,2,1,H,1,1,D,13,15,4,3,12,9,7,13,3,6,0,1
P1,2024-04-07,15:30,Chaves,Portimonense,2,3,A,1,0,H,9,11,3,4,15,15,4,4,3,2,0,0
P1,2024-04-07,18:00,Moreirense,Estrela,2,2,D,2,0,H,7,10,3,4,14,14,2,6,3,3,0,1
P1,2024-04-07,20:30,Porto,Guimaraes,1,2,A,1,2,A,12,4,6,2,6,23,6,1,2,6,1,0
P1,2024-04-08,20:15,Casa Pia,Estoril,0,0,D,0,0,D,12,11,4,2,9,11,2,6,0,2,0,0
P1,2024-04-12,20:15,Gil Vicente,Sp Lisbon,0,4,A,0,4,A,5,13,1,6,11,14,6,4,2,0,0,0
P1,2024-04-13,15:30,Guimaraes,Farense,1,1,D,0,1,A,24,10,6,6,6,12,8,1,2,4,0,0
P1,2024-04-13,18:00,Porto,Famalicao,2,2,D,1,2,A,20,8,8,3,19,16,10,0,4,3,1,0
P1,2024-04-13,20:30,Estoril,Sp Braga,0,1,A,0,0,D,4,12,0,5,8,12,2,3,0,1,0,0
P1,2024-04-14,15:30,Estrela,Rio Ave,2,2,D,1,1,D,15,6,5,4,12,12,10,1,2,1,0,0
P1,2024-04-14,18:00,Arouca,Boavista,2,1,H,2,0,H,14,8,5,5,17,9,1,4,3,4,0,1
P1,2024-04-14,18:00,Portimonense,Casa Pia,2,2,D,2,1,H,11,11,3,4,10,14,5,8,2,4,0,1
P1,2024-04-14,20:30,Benfica,Moreirense,3,0,H,2,0,H,19,8,6,0,11,11,6,2,2,1,0,0
P1,2024-04-15,20:15,Vizela,Chaves,0,1,A,0,1,A,12,7,4,2,17,13,10,5,3,2,0,0
P1,2024-04-16,20:15,Famalicao,Sp Lisbon,0,1,A,0,1,A,5,10,0,1,10,15,4,6,2,4,0,0
P1,2024-04-19,20:15,Rio Ave,Arouca,1,1,D,1,0,H,6,17,3,5,15,13,4,6,3,3,0,0
P1,2024-04-20,15:30,Moreirense,Gil Vicente,0,1,A,0,1,A,15,5,4,3,10,8,8,1,0,0,0,0
P1,2024-04-20,20:30,Sp Braga,Vizela,2,1,H,0,0,D,15,5,5,2,15,16,4,4,1,3,0,0
P1,2024-04-20,18:00,Boavista,Estrela,1,1,D,0,0,D,15,11,5,3,16,7,6,5,2,0,0,0
P1,2024-04-21,15:30,Chaves,Estoril,2,2,D,1,0,H,14,10,7,6,11,12,7,5,1,1,0,2
P1,2024-04-21,15:30,Famalicao,Portimonense,2,2,D,0,1,A,13,14,3,7,11,18,9,6,2,4,1,0
P1,2024-04-21,18:00,Casa Pia,Porto,1,2,A,1,1,D,11,16,4,5,18,15,8,4,3,1,0,0
P1,2024-04-21,20:30,Sp Lisbon,Guimaraes,3,0,H,2,0,H,10,6,4,1,10,10,5,3,1,1,0,0
P1,2024-04-22,20:15,Farense,Benfica,1,3,A,1,2,A,12,20,3,9,12,10,3,7,1,2,0,0
P1,2024-04-26,20:15,Gil Vicente,Arouca,2,2,D,0,0,D,9,15,3,7,7,9,2,5,3,1,0,0
P1,2024-04-27,15:30,Casa Pia,Chaves,3,1,H,1,0,H,11,11,6,7,14,12,4,5,3,4,0,0
P1,2024-04-27,15:30,Vizela,Rio Ave,1,1,D,1,1,D,16,11,4,2,16,14,7,0,2,2,0,0
P1,2024-04-27,18:00,Benfica,Sp Braga,3,1,H,0,1,A,21,11,6,7,13,12,6,3,2,3,0,1
P1,2024-04-27,20:30,Guimaraes,Boavista,1,0,H,1,0,H,9,7,2,1,15,14,4,3,3,5,0,1
P1,2024-04-28,20:30,Porto,Sp Lisbon,2,2,D,2,0,H,11,9,5,5,9,11,2,6,2,2,0,1
P1,2024-04-28,15:30,Portimonense,Moreirense,0,2,A,0,0,D,10,13,4,6,13,9,5,5,3,3,0,0
P1,2024-04-28,18:00,Estoril,Famalicao,1,0,H,1,0,H,8,13,3,3,13,12,3,6,0,2,0,0
P1,2024-04-29,20:15,Estrela,Farense,0,3,A,0,1,A,20,11,7,5,8,9,11,4,2,2,0,0
P1,2024-05-03,20:15,Moreirense,Vizela,1,0,H,1,0,H,11,8,5,2,22,22,4,5,3,2,0,0
P1,2024-05-04,20:30,Chaves,Porto,0,3,A,0,2,A,4,9,0,3,5,15,2,8,4,2,1,0
P1,2024-05-04,15:30,Rio Ave,Guimaraes,2,1,H,1,0,H,7,9,3,5,20,18,6,6,4,6,0,0
P1,2024-05-04,15:30,Boavista,Gil Vicente,1,1,D,1,1,D,7,11,3,6,19,12,2,4,1,1,0,0
P1,2024-05-04,18:00,Sp Lisbon,Portimonense,3,0,H,1,0,H,22,2,12,0,10,13,15,1,3,3,0,0
P1,2024-05-05,18:00,Sp Braga,Casa Pia,4,3,H,1,1,D,15,15,7,6,7,9,7,7,4,3,1,0
P1,2024-05-05,18:00,Arouca,Estrela,0,0,D,0,0,D,21,7,1,2,13,9,6,3,1,4,0,0
P1,2024-05-05,15:30,Farense,Estoril,3,2,H,2,1,H,13,9,5,2,14,13,3,3,3,0,0,0
P1,2024-05-05,20:30,Famalicao,Benfica,2,0,H,0,0,D,11,19,4,12,9,11,3,10,2,1,0,0
P1,2024-05-10,20:15,Chaves,Famalicao,0,1,A,0,1,A,8,11,2,4,18,21,3,3,3,1,0,0
P1,2024-05-11,20:30,Guimaraes,Sp Braga,2,3,A,1,1,D,12,14,4,8,13,15,6,8,4,3,0,0
P1,2024-05-11,18:00,Estoril,Sp Lisbon,0,1,A,0,0,D,7,19,1,5,16,10,2,9,2,1,0,0
P1,2024-05-11,15:30,Vizela,Estrela,4,0,H,1,0,H,15,10,7,3,16,11,4,7,3,2,0,0
P1,2024-05-11,15:30,Portimonense,Rio Ave,2,2,D,0,1,A,19,9,8,4,12,16,12,4,3,2,0,0
P1,2024-05-12,20:30,Porto,Boavista,2,1,H,0,0,D,20,3,4,2,14,12,11,2,2,9,0,1
P1,2024-05-12,18:00,Casa Pia,Moreirense,0,1,A,0,1,A,11,12,0,5,15,17,5,1,2,2,0,0
P1,2024-05-12,18:00,Benfica,Arouca,5,0,H,3,0,H,17,6,9,1,10,14,3,3,2,2,0,0
P1,2024-05-12,15:30,Gil Vicente,Farense,2,0,H,2,0,H,9,16,6,3,12,11,4,4,4,0,0,0
P1,2024-05-17,20:45,Rio Ave,Benfica,1,1,D,0,1,A,8,15,3,7,13,12,2,8,4,2,0,0
P1,2024-05-17,18:45,Famalicao,Casa Pia,1,2,A,1,1,D,13,10,5,5,11,14,3,5,4,5,0,0
P1,2024-05-18,18:00,Sp Lisbon,Chaves,3,0,H,2,0,H,15,10,7,0,16,7,5,3,2,1,0,1
P1,2024-05-18,20:30,Sp Braga,Porto,0,1,A,0,0,D,4,19,1,5,13,11,4,8,4,1,1,0
P1,2024-05-18,18:00,Moreirense,Estoril,2,1,H,1,0,H,13,9,3,2,8,8,2,6,0,0,0,0
P1,2024-05-18,15:30,Farense,Portimonense,1,3,A,0,2,A,7,15,3,6,14,14,2,4,3,1,1,1
P1,2024-05-18,15:30,Estrela,Gil Vicente,1,0,H,1,0,H,6,5,2,2,17,13,4,3,3,0,0,0
P1,2024-05-18,15:30,Boavista,Vizela,2,2,D,0,1,A,15,14,5,4,17,7,9,2,4,1,0,0
P1,2024-05-18,15:30,Arouca,Guimaraes,1,3,A,1,0,H,5,9,2,4,13,19,3,7,3,5,0,0
P1,2024-08-09,20:15,Sp Lisbon,Rio Ave,3,1,H,2,0,H,23,3,6,1,9,14,6,1,2,2,0,0
P1,2024-08-10,18:00,Casa Pia,Boavista,0,1,A,0,0,D,15,5,4,2,12,6,3,1,2,1,0,0
P1,2024-08-10,15:30,AVS,Nacional,1,1,D,0,1,A,17,6,3,2,8,13,4,2,1,1,0,0
P1,2024-08-10,20:30,Porto,Gil Vicente,3,0,H,1,0,H,16,3,7,2,18,10,6,2,0,3,0,1
P1,2024-08-11,15:30,Estoril,Santa Clara,1,4,A,1,1,D,4,9,2,8,11,20,1,3,6,3,0,0
P1,2024-08-11,18:00,Famalicao,Benfica,2,0,H,1,0,H,9,10,5,1,8,13,0,7,3,4,0,0
P1,2024-08-11,18:00,Farense,Moreirense,1,2,A,0,1,A,10,10,5,6,14,11,5,4,0,4,0,1
P1,2024-08-11,20:30,Sp Braga,Estrela,1,1,D,0,0,D,13,6,5,4,14,9,13,4,3,5,0,0
P1,2024-08-12,20:15,Arouca,Guimaraes,0,1,A,0,1,A,8,11,0,4,13,11,6,5,7,2,1,0
P1,2024-08-16,20:15,Gil Vicente,AVS,4,2,H,2,2,D,16,10,6,5,6,12,2,3,1,4,0,1
P1,2024-08-16,17:00,Santa Clara,Porto,0,2,A,0,2,A,5,8,2,6,19,12,2,2,2,3,1,0
P1,2024-08-17,20:30,Benfica,Casa Pia,3,0,H,0,0,D,26,5,7,1,6,14,12,2,0,1,0,0
P1,2024-08-17,18:00,Nacional,Sp Lisbon,1,6,A,1,2,A,12,20,6,10,9,10,4,3,1,1,0,0
P1,2024-08-17,15:30,Rio Ave,Farense,1,0,H,1,0,H,9,14,3,4,8,16,7,14,0,1,0,0
P1,2024-08-18,15:30,Moreirense,Arouca,3,1,H,2,1,H,14,15,6,3,14,12,7,5,1,2,0,0
P1,2024-08-18,18:00,Guimaraes,Estoril,1,0,H,1,0,H,14,3,5,1,15,17,9,3,2,1,0,0
P1,2024-08-18,20:30,Boavista,Sp Braga,0,1,A,0,1,A,7,12,1,3,8,9,3,8,3,1,0,0
P1,2024-08-19,20:15,Estrela,Famalicao,0,3,A,0,1,A,8,11,2,8,10,10,2,4,3,1,0,0
P1,2024-08-23,20:15,Farense,Sp Lisbon,0,5,A,0,2,A,4,28,1,8,18,5,1,5,4,1,0,0
P1,2024-08-24,20:30,Benfica,Estrela,1,0,H,1,0,H,16,5,9,0,19,12,12,2,4,3,0,0
P1,2024-08-24,15:30,Casa Pia,Santa Clara,0,2,A,0,0,D,10,7,3,4,14,21,7,1,4,4,1,0
P1,2024-08-24,18:00,Porto,Rio Ave,2,0,H,2,0,H,23,0,12,0,14,15,9,3,0,2,0,1
P1,2024-08-24,20:30,Famalicao,Boavista,1,0,H,1,0,H,10,5,4,2,18,16,7,3,1,3,0,0
P1,2024-08-25,15:30,Arouca,Nacional,1,0,H,1,0,H,10,11,4,1,17,11,9,2,2,6,0,0
P1,2024-08-25,18:00,Estoril,Gil Vicente,0,0,D,0,0,D,12,10,2,4,19,6,8,1,4,1,0,0
P1,2024-08-25,20:30,AVS,Guimaraes,1,0,H,0,0,D,9,13,2,5,15,13,3,6,3,3,0,0
P1,2024-08-25,20:30,Sp Braga,Moreirense,3,1,H,1,0,H,19,12,7,5,11,7,6,1,0,2,0,0
P1,2024-08-30,20:15,Moreirense,Benfica,1,1,D,0,0,D,8,12,6,4,17,7,0,8,3,5,0,0
P1,2024-08-31,15:30,Santa Clara,AVS,2,1,H,1,1,D,15,9,6,2,12,9,3,2,1,2,0,0
P1,2024-08-31,18:00,Boavista,Estoril,0,0,D,0,0,D,19,7,5,1,12,19,8,3,2,5,0,0
P1,2024-08-31,20:30,Sp Lisbon,Porto,2,0,H,0,0,D,11,8,4,2,14,18,2,3,1,5,0,0
P1,2024-08-31,18:00,Estrela,Casa Pia,0,1,A,0,0,D,14,15,4,6,9,22,2,7,1,1,0,0
P1,2024-09-01,20:30,Guimaraes,Famalicao,2,1,H,1,1,D,8,8,4,4,18,12,5,7,5,3,0,0
P1,2024-09-01,18:00,Rio Ave,Arouca,1,0,H,1,0,H,11,13,3,3,16,19,8,8,1,3,0,0
P1,2024-09-01,20:30,Gil Vicente,Sp Braga,0,0,D,0,0,D,10,8,5,2,8,18,4,5,4,1,0,0
P1,2024-09-01,15:30,Nacional,Farense,2,0,H,1,0,H,17,14,4,2,19,16,4,4,3,3,0,0
P1,2024-09-13,20:15,Arouca,Sp Lisbon,0,3,A,0,1,A,6,21,2,6,14,11,2,8,3,0,0,0
P1,2024-09-14,15:30,Casa Pia,Moreirense,3,1,H,0,1,A,16,12,4,2,23,10,4,5,5,2,0,0
P1,2024-09-14,18:00,AVS,Rio Ave,1,0,H,0,0,D,11,17,3,3,13,12,4,11,4,2,0,0
P1,2024-09-14,20:30,Benfica,Santa Clara,4,1,H,2,1,H,15,6,7,2,14,7,5,1,1,3,0,0
P1,2024-09-14,20:30,Famalicao,Gil Vicente,1,1,D,1,0,H,13,8,4,3,11,16,8,1,1,0,0,0
P1,2024-09-15,15:30,Porto,Farense,2,1,H,0,0,D,23,12,11,5,7,19,11,0,2,3,0,0
P1,2024-09-15,18:00,Estoril,Nacional,1,0,H,1,0,H,11,15,3,3,22,14,3,4,2,1,0,1
P1,2024-09-15,20:30,Sp Braga,Guimaraes,0,2,A,0,0,D,5,10,2,4,20,17,6,4,3,3,1,0
P1,2024-09-16,20:15,Estrela,Boavista,2,2,D,1,2,A,20,12,3,4,8,17,9,2,3,4,0,0
P1,2024-09-20,20:15,Nacional,Sp Braga,0,3,A,0,0,D,12,15,2,5,12,17,6,6,3,3,0,0
P1,2024-09-21,15:30,Rio Ave,Estoril,2,2,D,1,0,H,15,8,7,3,16,9,7,4,2,2,0,0
P1,2024-09-21,15:30,Santa Clara,Estrela,1,0,H,0,0,D,8,11,4,4,17,18,3,8,2,3,0,0
P1,2024-09-21,18:00,Guimaraes,Porto,0,3,A,0,0,D,6,12,1,4,7,18,5,6,4,4,0,0
P1,2024-09-21,20:30,Moreirense,Famalicao,0,0,D,0,0,D,8,6,3,1,24,15,4,3,5,3,0,0
P1,2024-09-22,18:00,Farense,Arouca,0,1,A,0,1,A,16,11,2,2,22,16,10,6,1,4,0,0
P1,2024-09-22,15:30,Gil Vicente,Casa Pia,1,1,D,1,0,H,15,8,4,4,7,24,9,2,2,5,0,0
P1,2024-09-22,20:30,Sp Lisbon,AVS,3,0,H,2,0,H,22,3,9,0,11,12,9,1,0,3,0,0
P1,2024-09-23,20:15,Boavista,Benfica,0,3,A,0,2,A,7,16,3,9,9,9,4,5,2,0,0,0
P1,2024-09-27,20:15,Estoril,Sp Lisbon,0,3,A,0,2,A,5,22,2,5,13,8,1,14,2,0,0,0
P1,2024-09-28,15:30,Estrela,Moreirense,2,1,H,2,0,H,4,13,2,2,27,18,2,7,3,3,0,1
P1,2024-09-28,18:00,Casa Pia,Guimaraes,1,1,D,1,0,H,9,19,4,7,13,9,7,9,2,0,0,0
P1,2024-09-28,20:30,Benfica,Gil Vicente,5,1,H,2,1,H,18,10,6,4,10,6,11,2,1,2,0,0
P1,2024-09-29,15:30,Famalicao,Nacional,0,0,D,0,0,D,16,11,5,4,13,22,8,4,1,4,0,0
P1,2024-09-29,18:00,Porto,Arouca,4,0,H,0,0,D,26,4,7,0,17,7,8,2,2,3,0,1
P1,2024-09-29,20:30,Santa Clara,Boavista,1,0,H,1,0,H,15,4,5,2,11,9,3,0,4,3,0,0
P1,2024-09-29,20:30,Sp Braga,Rio Ave,4,0,H,2,0,H,18,13,8,4,13,11,4,5,0,2,0,0
P1,2024-09-30,20:15,AVS,Farense,0,0,D,0,0,D,12,9,1,3,14,11,6,3,4,3,0,0
P1,2024-10-04,20:15,Rio Ave,Famalicao,1,1,D,0,0,D,15,8,6,3,17,13,11,7,4,3,0,0
P1,2024-10-05,20:30,Sp Lisbon,Casa Pia,2,0,H,1,0,H,22,5,6,3,9,12,5,3,1,2,0,0
P1,2024-10-05,18:00,Arouca,AVS,1,1,D,1,0,H,10,16,2,2,9,12,5,7,3,2,0,0
P1,2024-10-05,15:30,Moreirense,Santa Clara,1,0,H,0,0,D,11,12,2,3,10,14,1,7,0,0,0,0
P1,2024-10-05,15:30,Gil Vicente,Estrela,3,0,H,2,0,H,6,11,5,2,14,15,0,8,2,1,0,0
P1,2024-10-06,15:30,Farense,Estoril,1,0,H,0,0,D,15,7,2,2,18,11,5,4,4,3,0,0
P1,2024-10-06,15:30,Guimaraes,Boavista,2,2,D,1,0,H,12,8,4,5,18,16,6,5,4,5,0,0
P1,2024-10-06,20:30,Porto,Sp Braga,2,1,H,1,0,H,6,17,3,3,14,9,1,5,2,2,0,0
P1,2024-10-25,18:45,Casa Pia,Nacional,1,0,H,1,0,H,14,19,5,6,17,12,7,7,3,3,0,0
P1,2024-10-25,20:45,Santa Clara,Gil Vicente,2,1,H,2,1,H,15,10,3,1,16,17,6,4,2,4,0,0
P1,2024-10-26,15:30,Estoril,Arouca,4,1,H,2,1,H,12,13,5,4,19,14,6,9,4,2,0,0
P1,2024-10-26,18:00,Boavista,Moreirense,0,2,A,0,1,A,10,17,3,8,17,14,4,3,1,3,0,0
P1,2024-10-26,20:30,Famalicao,Sp Lisbon,0,3,A,0,0,D,6,33,1,13,7,10,4,8,1,1,0,0
P1,2024-10-27,15:30,Sp Braga,Farense,2,0,H,1,0,H,18,4,6,2,12,12,10,3,1,2,0,0
P1,2024-10-27,20:30,Estrela,Guimaraes,2,2,D,1,1,D,7,10,2,3,17,17,3,4,2,3,0,0
P1,2024-10-27,18:00,Benfica,Rio Ave,5,0,H,3,0,H,29,4,14,0,12,10,8,2,1,1,0,0
P1,2024-10-28,20:15,AVS,Porto,0,5,A,0,4,A,5,12,1,7,8,11,2,3,2,1,0,0
P1,2024-11-01,20:15,Sp Lisbon,Estrela,5,1,H,3,1,H,20,9,8,5,13,15,12,2,0,0,0,0
P1,2024-11-02,15:30,Rio Ave,Casa Pia,2,2,D,2,2,D,13,10,5,2,14,19,3,2,3,3,0,0
P1,2024-11-02,18:00,Farense,Benfica,1,2,A,1,1,D,9,18,4,7,10,5,3,8,1,0,0,0
P1,2024-11-02,20:30,Gil Vicente,Boavista,1,2,A,0,0,D,17,13,2,5,14,11,7,2,3,2,0,0
P1,2024-11-03,20:30,Porto,Estoril,4,0,H,2,0,H,16,12,9,5,7,9,9,5,0,2,0,0
P1,2024-11-03,18:00,Guimaraes,Moreirense,1,0,H,0,0,D,10,9,4,2,17,16,9,4,0,1,0,0
P1,2024-11-03,15:30,AVS,Famalicao,2,3,A,2,2,D,13,18,6,6,18,11,4,0,4,1,0,0
P1,2024-11-03,18:00,Arouca,Sp Braga,1,2,A,0,1,A,13,16,3,3,10,15,12,4,3,2,0,0
P1,2024-11-04,20:15,Nacional,Santa Clara,2,0,H,2,0,H,8,22,4,6,15,14,2,6,4,7,0,0
P1,2024-11-08,20:15,Moreirense,Gil Vicente,3,2,H,0,1,A,12,11,8,5,19,22,3,4,2,5,0,0
P1,2024-11-09,15:30,Casa Pia,Farense,1,1,D,1,1,D,13,8,2,3,13,16,4,2,4,3,0,0
P1,2024-11-09,15:30,Estoril,AVS,0,0,D,0,0,D,9,11,2,2,13,14,10,6,2,0,0,0
P1,2024-11-09,18:00,Famalicao,Arouca,0,0,D,0,0,D,6,9,2,1,19,13,4,8,5,3,0,0
P1,2024-11-09,20:30,Boavista,Rio Ave,0,2,A,0,1,A,24,5,4,1,10,17,7,2,5,3,1,1
P1,2024-11-10,15:30,Estrela,Nacional,2,0,H,0,0,D,17,15,3,4,10,12,10,4,1,1,0,0
P1,2024-11-10,16:30,Santa Clara,Guimaraes,1,0,H,0,0,D,21,5,7,2,17,19,9,4,5,6,0,0
P1,2024-11-10,18:45,Sp Braga,Sp Lisbon,2,4,A,2,0,H,3,13,2,6,20,13,0,5,5,4,0,0
P1,2024-11-10,20:45,Benfica,Porto,4,1,H,1,1,D,16,8,7,3,10,13,2,2,2,6,0,0
P1,2024-11-29,20:15,Farense,Estrela,1,0,H,1,0,H,11,13,2,3,20,19,3,6,4,2,0,0
P1,2024-11-30,15:30,Rio Ave,Moreirense,3,2,H,1,0,H,12,11,4,2,15,17,2,4,3,3,0,0
P1,2024-11-30,18:00,Nacional,Boavista,0,0,D,0,0,D,22,9,8,2,14,15,4,7,1,2,0,0
P1,2024-11-30,20:30,Sp Lisbon,Santa Clara,0,1,A,0,1,A,21,4,4,3,9,18,8,2,2,8,0,0
P1,2024-12-01,15:30,Estoril,Famalicao,2,1,H,2,1,H,12,7,4,1,19,18,5,7,2,4,0,0
P1,2024-12-01,20:30,AVS,Sp Braga,0,1,A,0,0,D,6,20,1,8,12,16,2,9,3,1,2,0
P1,2024-12-01,18:00,Arouca,Benfica,0,2,A,0,1,A,12,14,5,8,15,10,5,6,2,3,0,0
P1,2024-12-02,18:45,Guimaraes,Gil Vicente,4,0,H,1,0,H,19,3,5,0,19,10,9,2,1,2,0,0
P1,2024-12-02,20:45,Porto,Casa Pia,2,0,H,0,0,D,17,10,9,3,14,13,8,6,3,0,0,0
P1,2024-12-05,20:15,Moreirense,Sp Lisbon,2,1,H,2,1,H,8,16,4,2,17,15,4,6,3,1,0,0
P1,2024-12-06,20:15,Sp Braga,Estoril,2,2,D,1,0,H,16,11,7,3,18,21,3,2,3,5,0,0
P1,2024-12-07,20:30,Famalicao,Porto,1,1,D,1,0,H,4,16,2,4,13,19,3,5,2,3,0,0
P1,2024-12-07,18:00,Benfica,Guimaraes,1,0,H,1,0,H,8,10,1,2,9,13,6,9,3,1,0,0
P1,2024-12-07,18:00,Santa Clara,Rio Ave,1,0,H,1,0,H,10,4,4,2,18,17,6,2,2,4,0,0
P1,2024-12-07,15:30,Gil Vicente,Nacional,2,1,H,1,0,H,17,19,4,6,13,17,6,7,3,4,0,0
P1,2024-12-08,15:30,Boavista,Farense,1,1,D,0,0,D,13,11,4,6,7,17,5,4,3,4,1,1
P1,2024-12-08,18:00,Casa Pia,AVS,1,1,D,1,0,H,11,7,5,3,13,14,6,3,0,4,0,0
P1,2024-12-09,20:15,Estrela,Arouca,2,1,H,0,1,A,10,10,2,4,13,19,2,7,4,2,0,0
P1,2024-12-14,15:30,Farense,Gil Vicente,0,1,A,0,0,D,15,7,2,2,13,15,7,1,3,2,0,1
P1,2024-12-14,18:00,Nacional,Moreirense,1,0,H,0,0,D,12,4,5,1,14,16,10,2,0,3,0,0
P1,2024-12-14,20:30,Sp Lisbon,Boavista,3,2,H,1,1,D,20,8,7,2,16,11,10,1,3,3,0,0
P1,2024-12-15,20:30,Estoril,Casa Pia,0,2,A,0,0,D,14,10,5,4,14,16,5,4,4,3,0,0
P1,2024-12-15,15:30,Arouca,Santa Clara,1,0,H,0,0,D,12,5,3,1,17,18,7,2,2,2,0,0
P1,2024-12-15,18:00,AVS,Benfica,1,1,D,0,1,A,18,13,7,4,8,13,0,3,2,2,0,0
P1,2024-12-16,18:45,Sp Braga,Famalicao,3,3,D,0,1,A,21,10,8,8,12,14,10,3,0,1,0,0
P1,2024-12-16,20:45,Rio Ave,Guimaraes,2,2,D,2,0,H,5,16,4,5,9,13,0,2,2,1,0,0
P1,2024-12-16,20:15,Porto,Estrela,2,0,H,1,0,H,12,3,4,0,17,19,11,4,0,3,0,1
P1,2024-12-19,17:00,Nacional,Benfica,0,2,A,0,0,D,5,16,1,7,12,9,4,11,2,4,0,0
P1,2024-12-20,20:15,Casa Pia,Arouca,3,1,H,2,0,H,10,9,6,4,9,12,3,4,2,3,0,0
P1,2024-12-21,15:30,Famalicao,Farense,1,2,A,0,1,A,11,7,1,5,5,19,7,4,3,6,0,0
P1,2024-12-21,18:00,Boavista,AVS,0,0,D,0,0,D,15,7,4,1,9,14,5,1,1,2,0,0
P1,2024-12-21,20:30,Moreirense,Porto,0,3,A,0,1,A,7,12,1,7,17,12,2,4,3,4,0,0
P1,2024-12-22,17:00,Santa Clara,Sp Braga,0,2,A,0,0,D,12,12,6,5,14,15,2,2,3,5,1,0
P1,2024-12-22,20:30,Gil Vicente,Sp Lisbon,0,0,D,0,0,D,3,14,1,7,12,11,3,8,3,1,0,0
P1,2024-12-23,20:45,Estrela,Rio Ave,1,0,H,1,0,H,8,19,4,6,17,16,5,6,4,3,0,0
P1,2024-12-23,18:45,Benfica,Estoril,3,0,H,1,0,H,15,10,6,2,11,13,4,1,1,1,0,0
P1,2024-12-23,18:45,Guimaraes,Nacional,2,2,D,1,1,D,16,8,3,2,15,11,7,1,1,1,0,0
P1,2024-12-27,20:15,Arouca,Gil Vicente,1,1,D,0,0,D,10,7,5,3,21,11,5,7,0,1,0,0
P1,2024-12-28,18:00,Estoril,Moreirense,2,2,D,2,1,H,15,8,7,5,17,14,6,2,2,2,0,0
P1,2024-12-28,15:30,AVS,Estrela,1,1,D,0,1,A,12,16,6,5,13,12,7,6,2,2,0,0
P1,2024-12-28,20:30,Porto,Boavista,4,0,H,1,0,H,13,4,7,1,12,15,4,1,4,2,0,0
P1,2024-12-29,15:30,Farense,Guimaraes,2,2,D,1,0,H,6,27,2,12,12,15,6,9,2,3,0,0
P1,2024-12-29,15:30,Rio Ave,Nacional,2,1,H,1,1,D,20,13,7,2,10,14,11,6,0,1,0,0
P1,2024-12-29,18:00,Sp Braga,Casa Pia,1,2,A,1,1,D,16,8,6,4,9,14,10,2,2,3,0,0
